Company name, Email, Telephone
STEINSVIK CO.LTD,huong.nguyen@steinsvik.vn, (+84) 3744678
HUYNDAI - VINASHIN FACTORY,hvs@hyundai-vinashin.com, (+84) 02583622101
VINA NHA TRANG ENGINEERING JOINT STOCK COMPANY,info@vinanhatrang.vn, (+84) 02583771153
PHUONG DUC IMPORT AND EXPORT LTDCO,NaN, (+84) 02043828833
SANG GIANG GARMENT EQUIPMENT LTD CO,NaN, (+84) 01662023303
CHENGXIN ELECTRONIC LTD CO,NaN, (+84) 02043528665
ATTAPEU SUGAR-CANE LTD CO,NaN, (+84) 269 2222399
HOANG ANH GIA LAI IMPORT AND EXPORT LTD CO,contact@hagl.com.vn, (+84) 059 6255999
HP INVESTMENT HYDROPOWER JSC,phongxttmlaichau@gmail.com,NaN
TRUONG THANH MINERAL RESOURCES & INVESTMENT CONSTRUCTION JSC,phongxttmlaichau@gmail.com,NaN
LAI CHAU IMPORT EXPORT GENERAL JSC,phongxttmlaichau@gmail.com,NaN
HUNG HAI CONSTRUCTION CO. LTD,phongxttmlaichau@gmail.com,NaN
KHANG QUY CO. LTD,phongxttmlaichau@gmail.com,NaN
DUC THINH TRADING LTD,phongxttmlaichau@gmail.com,NaN
TUNG DUONG IMPORT EXPORT LTD,phongxttmlaichau@gmail.com, (+84) 02313876922
ADM21 VINA COMPANY LIMITED,tong.duong@admglobe.com, (+84) 904515089
BAO LONG CO.LTD,cong.ty.tnhhbaolong@gmail.com, (+84) 253876755
MINH HUNG LONG CO. LTD,nguyenhung@paragon.com.vn  , (+84) 83863 3594 / 909 543 579
CHINGHAI COMPANY,hanoichinghai@yahoo.com, (+84) 2413846881
DK UIL VIETNAM CO. LTD,thaoduong@dkuil.com.vn, (+84) 2413738013
SR HANOI DAEDONG CO. LTD,thuhuongtk4@gmail.com, (+84) 976057236
SAMSUNG SDI VIETNAM CO. LTD,tham.phan@samsung.com, (+84) 2413699123
BUJEON VIETNAM ELECTRONIC CO. LTD,NaN, (+84) 2413617837
FLEXCOM VIETNAM CO. LTD,www.flexcom.co.kr, (+84) 2413823196
SEOUL METAL VIETNAM JOIN STOCK COMPANY,Online2008@naver.com , (+84) 2413699100 
YAMATO INDUSTRIES VIETNAM CO. LTD,info@yamato.com, (+84) 2413617630
SEIYO VIETNAM CO. LTD,NaN, (+84) 2413634136
CRUCIALTEC VINA CO. LTD,NaN, (+84) 915556399
SUNGWOO VINA CO. LTD,sungwoobacninh@gmail.com, (+84) 2413798785
HANAKA GROUP JOINT STOCK COMPANY,hanakaeef@hn.vnn.vn , (+84) 2413741998
JUYOUN VIETNAM MACHINERY MANUFACTURING CO. LTD,topmachine.vn@gmail.com, (+84) 2413875158
NAMHUYN PRECISION CO. LTD,worldwide.power@gmail.com , (+84) 913.530.892
SAMSUNG ELECTRONICS VIETNAM CO. LTD,sev@samsung.com, (+84) 2413696049
THK MANUFACTURING OF VIETNAM CO. LTD,thanhnguyen@tmv.thk.com, (+84) 2413734970
LEGE VIETNAM CO. LTD,lege.vn@pchome.com.tw, (+84) 2413634246
AMTEK PRECISION TECHNOLOGY (HANOI) COMPANY,john.cho@amtek.com.sg, (+84) 2413634868
MITAC PRECISION TECHNOLOGY VIETNAM CO. LTD,enyih.lin@mic.com.tw, (+84) 979883518
NHAT LINH CO. LTD,nhatlinh@lioa.com| lioa.co@hn.vnn.vn, (+84) 2413790976
EMTECH VIETNAM CO. LTD,nguyentuthu@gmail.com, (+84) 912868266
SHIHEN VIETNAM CO. LTD,tranthithuhuong@shihenvietnam.com.vn, (+84) 2413734246
CHEONG GU TECH VIET NAM,linh@chegutechvietnam.vn, (+84) 0313.533.985
SAI GON TECNOLOGY CO.LTD,htyen2004@yahoo.com, (+84) 0438603107
IMPORT AND EXPORT THAI HUNG CO.LTD,Admin@ytethaihung.vn, (+84) 0913025803
HIEU THAO TRADING AND CONSTRUCTION COMPANY,Trading@HieuThaoCo.com, (+84) (8)22.200.969
BIEN XANH G20 CO.LTD,g20bluesea@gmail.com, (+84) 0906163926
NAM VIET TRADE AND TECHNICAL SERVICES CO.LTD,luongthelang@gmail.com, (+84) 985142517
HONG HA COMMERCIAL INVESTMENT CO.LTD,phamtuan199e@gmail.com, (+84) 0913210221
E.P.I.C VIET NAM JOINT STOCK COMPANY ,Sales1@epicvietnam.com, (+84) 0906 283 488
365 DAYS SPORT,tt365ngay@yahoo.com, (+84) 0902.275.511
TRADE & PRODUCTION THUAN AN CO.LTD,thuanan.jsc2008@gmail.com, (+84) 043.734.7087
THANH HOA CO.LTD,macvanvuong@gmail.com, (+84) 945806502
TECHNOLOGY VET NHAT CO.LTD,vnkd05@xenang.com.vn, (+84) 0984910077
LIFTING EQUIPMENTS CUONG PHAT CO.LTD,cuongphat828@gmail.com, (+84) 0466.805.328
IMPORT AND EXPORT TRADE HOANG NAM CO.LTD,hoangnamjsc@gmail.com, (+84) 0912816864
COMMERCIAL AND ENTERTAINMENT CK ELECTRONIC COMPONENTS CO.LTD,admin@ckcompany.vn, (+84) 6282 8288
AUTOMATION TECHNOLOGY TAN PHAT CO.LTD,tpautotech@gmail.com, (+84) 62851557
24 HOURS SPORTING ,ungcuthethao24h@gmail.com, (+84) 0463.259.476
VINH ANH TECHNOLOGY AND COMMERCIAL CO.LTD,ed68ad@gmail.com, (+84) (04) 36 210 124
DUC SON WINDOW,ducsonhd@gmail.com, (+84) 0985.667.880
TAY BAC MATERIALS CO.LTD.,info@taybac.com.vn| taybacinfo@fpt.vn, (+84) 4-35567767
LIEN ANH FREIGHT FORWARDING COMPANY,lianco@hcm.vnn.vn  , (+84) 8 35180161
LONG AN MACHINERY INDUSTRY J.S.C,sales@lamico.com.vn| cokhilongan@hcm.vnn.vn, (+84) 72-3511761
TU SON ELECTRONIC AND INFORMATION PTE.ENTERPRISE,tuson@hcm.vnn.vn| tusonics@tuson.vn, (+84) 68-3822597
ANPHA MANUFACTURING SERVICES AND TRADING CO.LTD.,NaN, (+84) 8-54495117
MINH TIEN JOINT STOCK COMPANY,info@minhtien.com.vn, (+84) 8-38214996
TIEN TUAN MEDICAL MACHINERY MANUFACTURE CO.LTD.,tientuan@hcm.vnn.vn, (+84) 4-38152951
TIEN CUONG TRADE ENTERPRISE PTE.,tiencuong7@hcm.fpt.vn, (+84) 8-38368893| 38370663
LONG BINH INFORMATION TECHNOLOGY AND TRADING CO.LTD.,lbc@hcm.vnn.vn, (+84) 38360699
ERECTION AND CONSTRUCTION CO. NO.18,ecc18@hcm.vnn.vn, (+84) 38298933| 38298490| 38217474
NHAT VIET MECHANICAL CO.LTD.,nhatvietnd@vnn.vn, (+84) 350-3885384
HOA PHAT REFRIGERATORY ELECTRIC CO.LTD.,minhtan@hoaphat.com.vn, (+84) 4-36282011
KOMATSU VIET NAM J.S.C,NaN, (+84) 4-38430540
TRAN LE INTERNATIONAL CO.LTD,tranle06@vnn.vn, (+84) 4-38210505
KIEN CUONG TRADE AND TECHNOLOGY TRANSFER CO.LTD.,viethoa@fpt.vn, (+84) 4-39870711
WELDTEC CO.LTD.,doannammkt@hn.vnn.vn| vinaweld@hn.vnn.vn, (+84) 4-62690458
CAU DUONG BUILDING MATERIALS CO.,cauduongcdc@vol.vnn.vn, (+84) 4-38832346
NGUYEN LONG TRADE AND SERVICE CO.LTD,sales1_tramsicom@hcm.fpt.vn| nguyenlong.co@hcm.fpt.vn, (+84) 4-39236219
KHAI PHAM TRADING IMPORT EXPORT CO.LTD.,info@photocopy.com.vn, (+84) 8- 3849 8622 
TRI CUONG INDUSTRIAL CO.LTD.,office@tc-industrial.vn, (+84) 4-62871954
LEXIM CO.LTD.,excado@fpt.vn, (+84) 4- 36782155
MINH TIEN JOINT STOCK COMPANY,mtic@minhtien.com.vn, (+84) 4-37852474
ASP INVESTMENT AND TECHNOLOGY TRANSFER J.S.C,info@asp.com.vn, (+84) 4-37761161
INTIMEX IMPORT EXPORT CORP.,intimex@hn.vnn.vn, (+84) 4-39423240
ELECTRICAL EQUIPMENT MANUFACTURING J.S.C,mail@eemc.com.vn, (+84) 4-38833781
﻿AN LAC INVESTMENT J.S.C,cpdt_anlac@hn.vnn.vn| cpdtanlac@hn.vnn.vn, (+84) 4-37733380
